Name,Fuel Type,Transmission,Year of Manufacturing,Kilometers Driven,Price(in Lakh Rupees)
Honda Brio V MT,Petrol,Manual,2012,61764,2.47
Honda WR-V 1.2L I-VTEC VX MT,Petrol,Manual,2018,59897,7.11
Honda Jazz 1.2L I-VTEC V,Petrol,Manual,2016,36158,4.2
Honda City 1.5L I-VTEC VX CVT,Petrol,Automatic,2019,54705,9.58
Honda City 1.5L I-VTEC V AT,Petrol,Automatic,2011,65495,2.76
Honda City 1.5L I-VTEC ZX,Petrol,Manual,2019,17087,9.04
Honda City 1.5L I-VTEC SV CVT,Petrol,Automatic,2014,45962,5.33
Honda Amaze 1.2L I-VTEC V,Petrol,Manual,2020,30688,6.42
Honda City 1.5L I-VTEC S MT,Petrol,Manual,2015,79079,4.33
Honda Amaze 1.2L I-VTEC S,Petrol,Manual,2021,15721,6.08
Honda City 1.5L I-VTEC V MT,Petrol,Manual,2017,38411,6.72
Honda City 1.5L I-VTEC ZX CVT,Petrol,Automatic,2018,33790,9.22
Honda City 1.5L I-DTEC SV,Diesel,Manual,2015,91885,4.88
Honda Jazz 1.2L I-VTEC VX,Petrol,Manual,2018,26130,4.82
Honda Jazz 1.2L I-VTEC V AT,Petrol,Automatic,2015,34003,4.75
Honda City 1.5L I-VTEC V MT,Petrol,Manual,2011,89211,2.86
Honda City 1.5L I-VTEC V MT,Petrol,Manual,2011,90143,2.6
Honda Amaze 1.2L I-VTEC S CVT,Petrol,Automatic,2023,8096,7.89
Honda Jazz 1.2L I-VTEC V AT,Petrol,Automatic,2017,45773,4.86
Honda City 1.5L I-VTEC SV,Petrol,Manual,2016,83615,5.33
Honda City 1.5L I-VTEC V MT,Petrol,Manual,2015,73939,4.56
Honda WR-V 1.2L I-VTEC VX MT,Petrol,Manual,2018,45344,6.2
Honda City 1.5L I-VTEC VX,Petrol,Manual,2015,100831,4.7
Honda Amaze 1.5L I-DTEC V CVT,Diesel,Automatic,2019,55583,7.32
Honda Jazz 1.2L I-VTEC SV,Petrol,Manual,2017,25602,4.53
Honda City 1.5L I-VTEC VX,Petrol,Manual,2015,75533,5.49
Honda City 1.5L I-VTEC SV,Petrol,Manual,2015,61177,4.8
Honda City 1.5L I-VTEC ZX,Petrol,Manual,2020,44722,9.19
Honda WR-V 1.2L I-VTEC VX MT,Petrol,Manual,2017,87905,5.67
Honda City 1.5L I-VTE V CVT,Petrol,Automatic,2017,99738,7.06
Honda City 1.5L I-VTEC ZX CVT,Petrol,Automatic,2017,43060,6.67
Honda City 1.5L I-VTEC ZX CVT,Petrol,Automatic,2017,33613,8.18
Honda Brio VX AT,Petrol,Automatic,2014,69196,3.44
Honda City 1.5L I-VTEC ZX CVT,Petrol,Automatic,2021,22827,13.4
Honda City 1.5L I-VTE V CVT,Petrol,Automatic,2017,68950,6.73
Honda City 1.5L I-VTEC VX,Petrol,Manual,2018,31998,8.68
Honda WR-V 1.2L I-VTEC VX MT,Petrol,Manual,2019,70985,6.68
Honda City 1.5L I-VTEC VX CVT,Petrol,Automatic,2019,39198,8.21
Honda City 1.5L I-VTE V CVT,Petrol,Automatic,2018,63253,6.99
Honda BR-V 1.5L I-VTEC VX,Petrol,Manual,2018,106523,7.39
Honda City 1.5L I-VTEC VX CVT,Petrol,Automatic,2016,92419,5.79
Honda Jazz 1.2L I-VTEC V AT,Petrol,Automatic,2015,63245,4.89
Honda WR-V 1.2L I-VTEC VX MT,Petrol,Manual,2020,42897,7.58
Honda Jazz 1.2L I-VTEC VX AT,Petrol,Automatic,2018,24232,6.59
Honda City 1.5L I-VTEC VX CVT,Petrol,Automatic,2020,26350,10.41
Honda City 1.5L I-VTEC V MT,Petrol,Manual,2017,22437,7.08
Honda City 1.5L I-VTEC VX CVT,Petrol,Automatic,2016,59039,6.39
Honda City 1.5L I-VTEC SV,Petrol,Manual,2015,41887,5.15
Honda WR-V 1.2L I-VTEC VX MT,Petrol,Manual,2018,22652,7.12
Honda Jazz 1.2L I-VTEC V,Petrol,Manual,2015,58811,4.22
Honda City 1.5L I-VTEC V MT,Petrol,Manual,2018,93703,6.9
Honda City 1.5L I-VTEC SV EDGE EDITION,Petrol,Manual,2018,27831,6.82
Honda City 1.5L I-VTEC S MT,Petrol,Manual,2012,80218,3.08
Honda City 1.5L I-VTE V CVT,Petrol,Automatic,2017,42660,7.3
Honda Jazz 1.2L I-VTEC VX CVT,Petrol,Automatic,2022,4980,9.25
Honda Jazz 1.2L I-VTEC V,Petrol,Manual,2015,89508,4.05
Honda City 1.5L I-VTEC VX CVT,Petrol,Automatic,2016,73098,6.94
Honda Brio S MT,Petrol,Manual,2014,89467,2.51
Honda Brio VX AT,Petrol,Automatic,2013,56041,3.35
Honda Amaze 1.2L I-VTEC V CVT,Petrol,Automatic,2018,66269,5.61
Honda City 1.5L I-VTEC SV,Petrol,Manual,2016,60664,4.96
Honda Jazz 1.2L I-VTEC VX CVT,Petrol,Automatic,2019,46371,6.59
Honda City 1.5L I-VTEC ZX CVT,Petrol,Automatic,2021,22500,12.06
